sale_id,product_name,quantity_sold,unit_price,sale_date,customer_id
S00001,Product E,12,483,13/10/2025,C0360
S00002,Product B,19,85,21/08/2025,C0076
S00003,Product C,5,395,17/09/2025,C0274
S00004,Product D,2,252,29/07/2025,C0406
S00005,Product C,10,88,23/01/2025,C0153
S00006,Product B,7,320,17/06/2025,C0121
S00007,Product E,15,270,16/10/2025,C0470
S00008,Product E,4,370,26/02/2025,C0178
S00009,Product C,17,75,03/04/2025,C0015
S00010,Product E,13,104,14/06/2025,C0407
S00011,Product B,8,110,06/06/2025,C0248
S00012,Product B,16,429,17/12/2025,C0333
S00013,Product D,18,203,07/11/2025,C0328
S00014,Product E,2,181,17/08/2025,C0185
S00015,Product C,19,418,10/01/2025,C0018
S00016,Product D,3,37,27/01/2025,C0333
S00017,Product C,9,112,31/05/2025,C0110
S00018,Product B,8,409,17/06/2025,C0466
S00019,Product B,1,38,19/02/2025,C0267
S00020,Product E,19,206,06/08/2025,C0247
S00021,Product B,15,228,09/01/2025,C0472
S00022,Product A,9,242,12/07/2025,C0407
S00023,Product A,6,427,23/07/2025,C0022
S00024,Product E,14,59,02/11/2025,C0070
S00025,Product E,12,383,07/02/2025,C0237
S00026,Product E,13,416,12/08/2025,C0012
S00027,Product A,6,333,21/02/2025,C0398
S00028,Product D,9,321,02/10/2025,C0351
S00029,Product A,18,207,15/07/2025,C0255
S00030,Product B,16,265,06/01/2025,C0325
S00031,Product C,16,276,01/06/2025,C0392
S00032,Product C,19,251,28/12/2025,C0466
S00033,Product C,12,42,22/07/2025,C0194
S00034,Product A,16,211,12/07/2025,C0114
S00035,Product A,11,231,30/12/2025,C0482
S00036,Product A,13,244,30/11/2025,C0393
S00037,Product D,15,56,15/04/2025,C0062
S00038,Product C,14,198,10/05/2025,C0248
S00039,Product B,3,424,04/09/2025,C0046
S00040,Product D,14,158,18/03/2025,C0307
S00041,Product A,2,344,07/06/2025,C0040
S00042,Product E,2,20,04/05/2025,C0289
S00043,Product E,4,137,19/05/2025,C0041
S00044,Product A,1,355,02/04/2025,C0458
S00045,Product D,18,162,14/07/2025,C0074
S00046,Product A,2,153,22/08/2025,C0322
S00047,Product B,6,212,20/02/2025,C0308
S00048,Product E,14,265,10/04/2025,C0341
S00049,Product B,3,338,30/10/2025,C0399
S00050,Product B,15,327,12/09/2025,C0417
S00051,Product A,13,47,19/09/2025,C0095
S00052,Product E,3,254,22/09/2025,C0480
S00053,Product A,12,163,27/08/2025,C0250
S00054,Product B,16,282,08/12/2025,C0310
S00055,Product E,4,277,03/04/2025,C0045
S00056,Product D,7,249,25/06/2025,C0237
S00057,Product A,11,427,21/02/2025,C0132
S00058,Product B,2,69,15/10/2025,C0177
S00059,Product B,6,52,11/11/2025,C0429
S00060,Product D,7,433,15/12/2025,C0020
S00061,Product B,4,422,21/06/2025,C0394
S00062,Product A,2,93,04/01/2025,C0432
S00063,Product D,3,477,07/02/2025,C0308
S00064,Product A,1,306,17/10/2025,C0249
S00065,Product E,18,239,12/01/2025,C0318
S00066,Product C,2,252,19/08/2025,C0035
S00067,Product D,9,128,13/11/2025,C0096
S00068,Product B,19,207,07/08/2025,C0130
S00069,Product C,15,130,19/07/2025,C0283
S00070,Product C,8,206,23/06/2025,C0479
S00071,Product E,4,181,14/01/2025,C0253
S00072,Product D,7,64,25/12/2025,C0442
S00073,Product C,1,487,16/12/2025,C0380
S00074,Product E,9,341,06/06/2025,C0069
S00075,Product A,5,455,07/07/2025,C0360
S00076,Product C,11,46,18/06/2025,C0423
S00077,Product C,17,216,15/03/2025,C0233
S00078,Product B,9,348,08/01/2025,C0037
S00079,Product E,6,472,30/07/2025,C0387
S00080,Product B,8,223,19/02/2025,C0115
S00081,Product C,1,191,20/06/2025,C0396
S00082,Product A,10,464,13/11/2025,C0486
S00083,Product B,3,177,15/11/2025,C0415
S00084,Product C,10,28,07/09/2025,C0355
S00085,Product D,6,443,29/06/2025,C0095
S00086,Product D,6,245,10/02/2025,C0308
S00087,Product A,1,110,11/08/2025,C0271
S00088,Product D,15,329,18/10/2025,C0250
S00089,Product D,11,497,06/12/2025,C0306
S00090,Product D,4,480,17/11/2025,C0441
S00091,Product A,14,497,03/11/2025,C0130
S00092,Product E,18,291,11/05/2025,C0390
S00093,Product B,14,478,21/11/2025,C0031
S00094,Product B,6,176,01/12/2025,C0019
S00095,Product B,4,361,27/08/2025,C0115
S00096,Product B,3,16,15/08/2025,C0364
S00097,Product E,4,78,31/07/2025,C0022
S00098,Product B,13,166,26/04/2025,C0143
S00099,Product D,16,368,14/03/2025,C0139
S00100,Product A,6,69,28/11/2025,C0319
S00101,Product B,17,212,18/05/2025,C0318
S00102,Product B,5,453,09/02/2025,C0040
S00103,Product E,10,48,08/11/2025,C0020
S00104,Product A,17,195,01/06/2025,C0264
S00105,Product D,13,287,02/01/2025,C0029
S00106,Product E,16,385,19/12/2025,C0273
S00107,Product D,6,105,01/07/2025,C0156
S00108,Product C,1,264,09/08/2025,C0448
S00109,Product C,14,247,06/03/2025,C0001
S00110,Product A,6,37,08/12/2025,C0320
S00111,Product E,9,393,28/02/2025,C0127
S00112,Product C,17,462,25/12/2025,C0307
